generation,i,fitness,hash,mom_hash,dad_hash,values
13,24,692,6579300222107546050,7260873154958114378,-1076809423479049582,1  1  1  1  0  0  1  1  1  0  0  1  1  1  1  1  1  1  1  1  0  1  1  1  1  0  1  1  1  0  0  1  0  0  1  0  0  1  1  0  0  0  0  0  1  1  1  1  0  1  1  0  0  0  1  1  1  1  0  1  0  0  0  1  1  1  1  0  0  1  0  0  0  1  0  1
13,25,692,7257088803547945088,2392684349767229870,6251657337616148332,1  1  0  0  1  0  1  1  1  0  1  0  1  1  0  0  0  1  0  0  1  1  0  1  1  1  1  1  1  1  1  0  1  0  1  1  1  0  1  0  1  1  1  1  1  0  1  1  1  1  1  0  0  0  1  1  0  0  1  0  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  0
13,26,689,-8375991605290953320,-2500777963149858235,-3682181242441568674,0  0  1  1  0  0  1  1  0  0  0  0  1  1  0  1  1  1  0  1  1  1  0  1  0  0  0  0  1  1  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  1  1  1  1  1  0  0  0  0  1  0  0  1  0  0  1  1  1  1  0  1  1  1  1  1  1  0  0  1  0  0
13,27,688,-7919176407242234916,6251657337616148332,-2646304695020562050,1  1  0  1  0  1  1  0  0  0  1  1  0  0  0  1  1  1  0  0  0  0  1  1  1  1  0  1  1  1  1  0  1  1  1  0  1  1  0  1  1  1  0  0  1  1  1  0  1  1  1  0  0  0  0  1  1  0  0  1  1  1  1  1  1  0  0  1  0  1  0  1  0  1  0  0
13,28,684,-2848833892865396404,-53325938951319544,7320547266454135786,0  1  1  1  1  1  1  1  1  1  0  0  1  0  0  1  1  0  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  1  1  1  0  1  1  1  1  1  0  0  0  0  1  0  0  1  0  1  0  1  0  1  0  1  1  0  1  1  1  1  0  1  0  1  0  0  1  1  0  1
13,29,680,6806703286527577546,-4400220149162398540,-3682181242441568674,1  0  0  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  1  1  0  1  1  1  0  1  1  1  1  0  1  1  1  1  0  1  0  0  1  1  1  1  1  1  1  1  1  0  1  1  0  0  1  0  0  1  0  1  0  1  1  0  0  0  1  1  0  0  1  1  1  0  0  0  1  1
13,30,678,-3425893589037340259,-2523125559123291886,1752377477884213945,0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  1  1  1  1  1  0  1  1  1  0  0  1  0  0  0  1  1  0  0  1  1  1  0  1  1  1  1  1  1  0  1  0  1  0  1  1  0  0  1  0  0  0  0
13,31,677,-1241355568748921962,6775719787377112453,5336848399978866098,1  0  1  0  1  1  1  1  1  0  1  1  1  0  0  1  1  0  0  1  0  1  1  1  1  0  1  1  0  0  1  0  1  1  1  1  1  0  0  1  1  1  1  1  0  0  0  1  0  1  0  1  0  0  0  1  0  1  0  0  1  0  1  1  1  1  0  1  1  1  1  0  0  0  0  1
13,32,677,-982131432105423001,-4400220149162398540,-3682181242441568674,0  0  1  1  0  1  0  1  0  0  1  1  1  1  1  1  1  1  0  1  1  1  0  0  0  1  1  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  1  1  1  1  1  0  1  1  1  0  1  0  0  1  0  1  0  1  1  0  0  1  1  1  0  0  1  1  1  0  0  0  1  1
13,33,676,-115330934568489893,4859053968153023642,-2523125559123291886,0  1  1  0  1  1  1  0  1  1  1  0  0  1  1  1  1  1  0  1  1  0  1  1  1  0  0  1  1  1  1  1  1  1  1  1  0  1  0  1  1  1  0  0  1  1  0  0  1  1  0  0  1  1  1  0  1  1  1  1  1  1  0  1  0  1  0  1  1  0  0  0  0  0  0  0
13,34,676,-2045103590092798116,-8127103867401799290,-7592722758323785083,0  1  0  0  1  1  0  0  1  1  1  0  1  1  1  1  1  1  1  1  1  1  1  0  1  1  1  1  1  1  1  1  0  0  0  1  0  1  1  0  1  1  1  1  0  0  0  1  1  0  1  1  0  1  0  0  1  1  0  1  1  1  1  0  1  1  0  1  0  0  1  1  1  1  1  1
13,35,673,-8595116273059100547,-8054128570957994936,-3030596746898070409,0  1  1  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  1  1  0  1  1  1  1  0  0  0  0  1  1  1  0  0  0  0  1  1  1  1  1  0  1  1  1  0  1  0  1  0  1  0  0  0  1  1  0  1  0  0  1  1  1  1  0  0  1  1  1  0  1  1  0  1
13,36,673,-1554975824414326008,6304291305194152864,2392684349767229870,1  1  1  1  0  0  0  1  0  1  1  0  0  0  1  1  0  1  1  0  1  0  1  0  0  0  0  0  1  1  0  0  0  0  1  1  0  1  0  1  1  0  0  1  0  0  1  1  1  1  0  1  1  1  1  1  0  1  1  1  0  0  1  1  1  1  0  1  0  1  1  0  1  1  0  1
13,37,670,8014265530622677164,-2523125559123291886,-4177090213509396829,1  1  1  1  0  1  1  1  1  1  1  1  1  1  1  0  0  1  1  1  0  0  1  0  1  1  0  0  0  1  1  1  1  0  1  1  0  1  0  1  0  0  0  1  1  1  0  1  1  0  1  0  0  1  1  1  0  0  0  1  0  1  1  1  0  1  0  1  1  1  1  0  1  0  0  0
13,38,670,8597833767779574942,-7463651695286003993,8945336774832952574,1  0  0  0  0  1  0  0  1  0  1  0  1  1  1  0  0  1  1  0  0  0  1  0  0  1  1  1  0  1  0  1  1  0  1  0  1  0  1  1  1  1  1  0  1  0  0  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  1  1  0  1  0  0  1  1  0  1  1  1  1  1
13,39,670,-5537360397660096051,8945336774832952574,1752377477884213945,1  0  0  1  0  1  0  0  1  1  1  1  1  1  0  0  0  1  1  0  1  0  1  0  0  1  1  0  0  1  1  1  1  0  1  1  1  1  0  1  1  0  1  1  0  0  1  1  1  1  1  1  0  1  1  1  1  1  0  1  1  1  1  1  0  0  0  0  1  1  0  0  1  1  1  0
13,40,670,6108418255457427052,-4074620896886839847,8698061709471924195,1  1  0  0  1  1  1  1  0  0  1  1  1  0  1  1  0  0  0  0  1  1  0  1  0  1  1  1  0  1  0  0  0  1  0  1  1  1  0  0  1  0  1  0  1  0  1  0  0  0  0  1  0  1  1  1  0  1  1  1  0  1  1  1  1  1  1  1  0  1  1  0  0  1  1  1
13,41,669,-3509732045321736073,5934989590065074087,6304291305194152864,0  0  1  1  1  1  0  0  1  0  1  1  1  1  1  1  1  1  0  1  1  1  0  0  1  1  1  0  0  0  1  1  0  1  0  1  1  1  1  1  1  1  0  1  1  0  1  0  1  0  0  0  1  1  1  1  0  0  0  1  1  0  0  1  1  1  0  0  1  0  1  1  0  1  1  1
13,42,666,6694113399698307988,-2523125559123291886,-2288014144517490541,1  0  1  0  1  1  1  1  1  1  0  1  1  1  1  1  1  1  1  0  1  1  0  0  0  1  1  1  0  1  1  1  0  1  0  1  1  1  0  0  1  1  1  0  1  1  0  1  1  0  0  0  0  1  0  1  1  1  1  0  1  1  0  1  1  0  1  1  0  0  1  1  0  1  0  1
13,43,665,3715212019694931264,5777010396876367331,-9159779930692946505,1  0  1  1  0  1  0  1  1  0  1  1  1  1  0  0  1  1  1  1  1  1  1  0  0  0  1  0  1  0  1  1  1  0  1  1  0  1  0  1  1  1  0  0  1  0  0  0  0  0  0  1  1  1  1  0  1  1  1  1  0  1  1  0  0  0  0  1  1  1  1  1  0  1  1  1
13,44,664,-5500511826898879507,-7592722758323785083,-1081321084922429474,1  1  1  1  0  0  1  1  0  1  1  0  0  1  1  1  0  1  1  0  1  1  0  0  1  0  0  1  0  1  1  0  0  0  1  0  1  0  1  1  1  1  0  0  0  1  1  1  0  1  1  0  1  0  1  0  1  0  0  1  1  0  1  0  1  0  1  1  1  1  0  1  0  1  1  0
13,45,662,-4242619562838350998,2521630500249254935,1295637557215446574,1  1  1  1  0  0  0  1  0  1  0  0  0  1  1  1  0  1  1  0  1  1  0  0  1  0  0  0  1  1  0  1  0  0  1  1  0  1  1  1  1  1  0  0  0  1  1  1  1  1  1  0  0  1  1  1  0  1  1  1  1  0  1  0  1  1  0  0  0  1  0  1  1  1  1  1
13,46,661,-8254105553815716127,-4074620896886839847,6775719787377112453,0  1  1  1  0  0  1  1  0  1  1  0  1  0  1  1  1  1  1  0  1  0  1  1  0  1  1  1  0  0  1  0  1  1  0  1  0  1  0  1  0  0  1  1  1  1  1  1  0  0  1  1  0  0  1  0  1  1  0  0  1  1  1  0  0  0  1  1  0  1  1  1  0  1  1  1
13,47,661,-6197431094262208727,8945336774832952574,1752377477884213945,0  1  0  1  0  0  1  1  1  1  1  1  0  0  0  1  1  0  0  0  1  1  0  1  1  1  0  1  1  1  1  0  1  0  0  0  1  1  1  1  0  1  1  0  1  0  0  0  0  1  0  0  1  1  1  1  0  1  1  0  1  1  0  1  1  1  0  1  0  1  1  0  1  1  1  0
